"Gender","Ethnicity","EEO4.Description","EEOP.Job.Group.Description","Department","EEO.Function","Age","Employment.Status"
0,7,"Paraprofessionals","Administrative Support","AGRICULTURE & ENVIRON MGMT",5,2,1
1,4,"Paraprofessionals","Technicians","CONTROLLER TREASURER",7,2,1
1,7,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
0,7,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,0
1,6,"Paraprofessionals","Administrative Support","COUNTY LIBRARY",11,2,0
0,0,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
1,0,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
1,0,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,6,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,4,"Administrative Support","Administrative Support","COUNTY CLERK-RECORDER",11,2,1
0,6,"Administrative Support","Administrative Support","COUNTY CLERK-RECORDER",11,2,1
0,0,"Administrative Support","Administrative Support","COUNTY CLERK-RECORDER",11,2,1
1,7,"Administrative Support","Administrative Support","COUNTY CLERK-RECORDER",11,2,1
0,5,"Service Maintenance","Service Maintenance","FACILITIES AND FLEET",7,2,0
1,4,"Paraprofessionals","Technicians","PUBLIC HEALTH",8,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,0
0,7,"Service Maintenance","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Paraprofessionals","Technicians","REGISTRAR OF VOTERS",11,2,1
1,7,"Paraprofessionals","Technicians","REGISTRAR OF VOTERS",11,2,1
0,7,"Technicians","Skilled Craft","ROADS AND AIRPORTS",3,2,0
1,5,"Administrative Support","Administrative Support","SHERIFF SERVICES",9,2,1
0,4,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,0,"Paraprofessionals","Technicians","SOCIAL SERVICES AGENCY",10,2,1
1,7,"No EEO-4 Reporting","Professionals","BOARD OF SUPERVISORS",7,2,1
1,7,"No EEO-4 Reporting","Professionals","BOARD OF SUPERVISORS",7,2,1
1,6,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,0,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,4,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,7,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,7,"Paraprofessionals","Technicians","AGRICULTURE & ENVIRON MGMT",5,2,1
1,2,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,1
1,6,"Administrative Support","Administrative Support","CONTROLLER TREASURER",7,2,1
1,6,"Paraprofessionals","Administrative Support","CONTROLLER TREASURER",7,2,1
0,7,"Paraprofessionals","Administrative Support","COUNTY EXECUTIVE",7,2,1
1,5,"Professionals","Professionals","COUNTY EXECUTIVE",7,2,1
1,4,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
0,6,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
0,0,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
1,0,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
1,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,7,"Paraprofessionals","Technicians","DEPT OF TAX AND COLLECTIONS",7,2,1
1,5,"Administrative Support","Administrative Support","DISTRICT ATTORNEY",7,2,1
1,5,"Professionals","Professionals","DISTRICT ATTORNEY",7,2,0
1,7,"Administrative Support","Administrative Support","EMPLOYEE SERVICES AGENCY",7,2,1
1,7,"Professionals","Officials and Adminstrators","EMPLOYEE SERVICES AGENCY",7,2,0
0,5,"Service Maintenance","Service Maintenance","FACILITIES AND FLEET",7,2,0
0,4,"Paraprofessionals","Technicians","FACILITIES AND FLEET",7,2,1
0,4,"Paraprofessionals","Technicians","FACILITIES AND FLEET",7,2,1
0,4,"Technicians","Technicians","PUBLIC HEALTH",8,2,0
1,7,"Professionals","Professionals","PRE-TRIAL SERVICES",4,2,1
1,4,"Administrative Support","Administrative Support","PROBATION",4,2,1
0,6,"Protective Service Workers","Protective Services - Sworn","PROBATION",4,2,1
1,0,"Protective Service Workers","Protective Services - Sworn","PROBATION",4,2,1
1,7,"Administrative Support","Administrative Support","PROCUREMENT",7,2,1
0,7,"Professionals","Professionals","PUBLIC DEFENDER",7,2,1
0,4,"Paraprofessionals","Technicians","PUBLIC HEALTH",8,2,1
1,5,"Paraprofessionals","Technicians","PUBLIC HEALTH",8,2,1
1,4,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,5,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,5,"Service Maintenance","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Service Maintenance","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,5,"Service Maintenance","Skilled Craft","ROADS AND AIRPORTS",3,2,0
0,6,"Technicians","Skilled Craft","ROADS AND AIRPORTS",3,2,0
0,4,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,4,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,0,"Protective Service Workers","Protective Services - Sworn","SHERIFF SERVICES",9,2,1
0,6,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,5,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,1
1,7,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
1,5,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,1
1,5,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,0
1,7,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,7,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,7,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,6,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Professionals","Professionals","PUBLIC HEALTH",8,2,0
1,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,7,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,5,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,6,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,6,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,0,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,7,"Professionals","Officials and Adminstrators","AGRICULTURE & ENVIRON MGMT",5,2,1
1,7,"Professionals","Officials and Adminstrators","AGRICULTURE & ENVIRON MGMT",5,2,1
0,7,"Paraprofessionals","Technicians","ASSESSOR",7,2,1
1,7,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,0
1,7,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,0
1,0,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,0
1,4,"Paraprofessionals","Technicians","COUNTY EXECUTIVE",7,2,1
1,0,"Paraprofessionals","Administrative Support","COUNTY EXECUTIVE",7,2,1
0,5,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
0,0,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,0
1,4,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,0
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,6,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,5,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,4,"Paraprofessionals","Technicians","PARKS & RECREATION",5,2,1
1,6,"Paraprofessionals","Administrative Support","PARKS & RECREATION",5,2,1
1,5,"Paraprofessionals","Technicians","PARKS & RECREATION",5,2,1
0,4,"Paraprofessionals","Technicians","PARKS & RECREATION",5,2,1
1,5,"Service Maintenance","Service Maintenance","DEPARTMENT OF CORRECTION",4,2,1
1,2,"Professionals","Professionals","DISTRICT ATTORNEY",7,2,1
0,4,"Professionals","Professionals","DISTRICT ATTORNEY",7,2,1
1,7,"Professionals","Officials and Adminstrators","EMPLOYEE SERVICES AGENCY",7,2,0
0,4,"Administrative Support","Administrative Support","FACILITIES AND FLEET",7,2,0
0,7,"Paraprofessionals","Technicians","FACILITIES AND FLEET",7,2,1
0,7,"Professionals","Professionals","PRE-TRIAL SERVICES",4,2,1
1,7,"Professionals","Professionals","PRE-TRIAL SERVICES",4,2,1
1,5,"Protective Service Workers","Protective Services - Sworn","PROBATION",4,2,1
1,4,"Professionals","Officials and Adminstrators","PROBATION",4,2,0
1,2,"Paraprofessionals","Technicians","PUBLIC HEALTH",8,2,1
0,4,"Paraprofessionals","Administrative Support","PUBLIC HEALTH",8,2,1
0,0,"Technicians","Technicians","PUBLIC HEALTH",8,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,4,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Paraprofessionals","Technicians","REGISTRAR OF VOTERS",11,2,1
0,7,"Technicians","Technicians","REGISTRAR OF VOTERS",11,2,1
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF SERVICES",9,2,0
0,4,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,4,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,4,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,2,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,3,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,0,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,7,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,0,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,7,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,1
1,5,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
1,7,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
0,4,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
0,7,"Paraprofessionals","Administrative Support","SOCIAL SERVICES AGENCY",10,2,1
0,7,"Protective Service Workers","Protective Services-Non Sworn","SOCIAL SERVICES AGENCY",10,2,1
1,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,0,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,7,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,6,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,5,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,4,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,7,"Service Maintenance","Service Maintenance","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,0,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Paraprofessionals","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,5,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,6,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,6,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Paraprofessionals","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,7,"Protective Service Workers","Protective Services-Non Sworn","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,6,"Technicians","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,7,"Technicians","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,4,"Technicians","Technicians","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,0,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,7,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,4,"Professionals","Professionals","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,7,"Service Maintenance","Service Maintenance","AGRICULTURE & ENVIRON MGMT",5,2,0
1,0,"Service Maintenance","Service Maintenance","AGRICULTURE & ENVIRON MGMT",5,2,0
0,7,"Paraprofessionals","Technicians","AGRICULTURE & ENVIRON MGMT",5,2,1
0,7,"Administrative Support","Administrative Support","ASSESSOR",7,2,0
1,7,"Administrative Support","Administrative Support","ASSESSOR",7,2,0
1,4,"Administrative Support","Administrative Support","BEHAVIORAL HEALTH SERVICES",8,2,0
1,4,"Administrative Support","Administrative Support","BEHAVIORAL HEALTH SERVICES",8,2,0
0,5,"Service Maintenance","Service Maintenance","BEHAVIORAL HEALTH SERVICES",8,2,1
1,7,"Administrative Support","Administrative Support","CLERK OF THE BOARD",7,2,1
1,7,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,0
1,7,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,0
1,5,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,1
1,4,"Administrative Support","Administrative Support","COMMUNICATIONS",9,2,0
1,4,"Administrative Support","Administrative Support","COMMUNITY HEALTH SERVICES",8,2,0
1,5,"Administrative Support","Administrative Support","COUNTY EXECUTIVE",7,2,1
0,4,"Paraprofessionals","Administrative Support","COUNTY EXECUTIVE",7,2,1
0,7,"Paraprofessionals","Technicians","COUNTY EXECUTIVE",7,2,1
0,5,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
0,0,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,0
1,4,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,0
1,0,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,0
1,0,"Paraprofessionals","Administrative Support","COUNTY LIBRARY",11,2,0
1,7,"Professionals","Professionals","COUNTY LIBRARY",11,2,0
0,4,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,5,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,5,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,5,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,4,"Professionals","Professionals","CUSTODY HEALTH SERVICES",8,2,1
1,7,"Professionals","Officials and Adminstrators","DEPT OF ENVIRONMENTAL HEALTH",5,2,0
1,5,"Administrative Support","Administrative Support","DEPT OF TAX AND COLLECTIONS",7,2,0
1,7,"Administrative Support","Administrative Support","DEPT OF TAX AND COLLECTIONS",7,2,0
1,7,"Paraprofessionals","Technicians","DEPT OF TAX AND COLLECTIONS",7,2,1
1,7,"Administrative Support","Administrative Support","DISTRICT ATTORNEY",7,2,0
1,7,"Administrative Support","Administrative Support","DISTRICT ATTORNEY",7,2,0
0,5,"Service Maintenance","Service Maintenance","DISTRICT ATTORNEY",7,2,0
0,5,"Paraprofessionals","Administrative Support","DISTRICT ATTORNEY",7,2,0
1,0,"Professionals","Professionals","DISTRICT ATTORNEY",7,2,1
0,0,"Professionals","Professionals","DISTRICT ATTORNEY",7,2,1
0,5,"Service Maintenance","Service Maintenance","FACILITIES AND FLEET",7,2,0
0,4,"Paraprofessionals","Technicians","FACILITIES AND FLEET",7,2,1
1,5,"Paraprofessionals","Technicians","FACILITIES AND FLEET",7,2,1
1,4,"Administrative Support","Administrative Support","PROBATION",4,2,0
0,5,"Service Maintenance","Service Maintenance","PROBATION",4,2,0
1,4,"Paraprofessionals","Administrative Support","PROBATION",4,2,1
1,2,"Protective Service Workers","Protective Services - Sworn","PROBATION",4,2,1
1,5,"Protective Service Workers","Protective Services - Sworn","PROBATION",4,2,0
0,4,"Protective Service Workers","Protective Services - Sworn","PROBATION",4,2,1
1,5,"Protective Service Workers","Protective Services - Sworn","PROBATION",4,2,1
0,6,"Professionals","Officials and Adminstrators","PROBATION",4,2,0
1,5,"Administrative Support","Administrative Support","PUBLIC HEALTH",8,2,0
1,4,"Paraprofessionals","Technicians","PUBLIC HEALTH",8,2,1
0,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,0
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Paraprofessionals","Technicians","REGISTRAR OF VOTERS",11,2,1
1,7,"Paraprofessionals","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Technicians","Skilled Craft","ROADS AND AIRPORTS",3,2,0
1,5,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,0
1,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF SERVICES",9,2,0
0,0,"Protective Service Workers","Protective Services - Sworn","SHERIFF SERVICES",9,2,0
0,6,"Protective Service Workers","Protective Services - Sworn","SHERIFF SERVICES",9,2,0
0,0,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,5,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
1,4,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,4,"Protective Service Workers","Protective Services-Non Sworn","SHERIFF SERVICES",9,2,1
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,0,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,0,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,2,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,6,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
0,5,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,4,"Protective Service Workers","Protective Services - Sworn","SHERIFF-DOC CONTRACT",4,2,0
1,6,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
1,5,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
0,4,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
0,4,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
1,7,"Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY",10,2,0
0,4,"Technicians","Technicians","SOCIAL SERVICES AGENCY",10,2,0
1,4,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,0
1,4,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,0
1,2,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,0
1,5,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,0
0,4,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,0
1,0,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,1
1,6,"Professionals","Professionals","SOCIAL SERVICES AGENCY",10,2,0
0,7,"No EEO-4 Reporting","Professionals","BOARD OF SUPERVISORS",7,2,1
1,7,"No EEO-4 Reporting","Professionals","BOARD OF SUPERVISORS",7,2,1
0,7,"No EEO-4 Reporting","Professionals","BOARD OF SUPERVISORS",7,2,1
1,2,"Professionals","Officials and Adminstrators","VALLEY HEALTH PLAN",8,2,1
0,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,6,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,6,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
1,5,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
0,7,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,6,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
0,7,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,0
