Gender,Ethnicity,EEO4 Description,EEOP Job Group Description,Department  ,EEO Function,Age,Employment Status
Female,White,Administrative Support,Administrative Support,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,Two or More Races,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Classified Provisional
Female,Asian,Administrative Support,Administrative Support,COUNTY CLERK-RECORDER,Other,20 - 29,Unclassified Extra Help
Male,Two or More Races,Administrative Support,Administrative Support,COUNTY CLERK-RECORDER,Other,20 - 29,Unclassified Extra Help
Male,White,Administrative Support,Administrative Support,COUNTY CLERK-RECORDER,Other,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,COUNTY CLERK-RECORDER,Other,20 - 29,Unclassified Extra Help
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,FACILITIES AND FLEET,Financial Administration,20 - 29,Classified Probationary
Female,Asian,Paraprofessionals,Technicians,PUBLIC HEALTH,Health,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Classified Probationary
Male,Not Applicable,Service Maintenance,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Not Applicable,Paraprofessionals,Technicians,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Not Applicable,Paraprofessionals,Technicians,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Not Applicable,Technicians,Skilled Craft,ROADS AND AIRPORTS,Streets and Highways,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified Extra Help
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Female,White,Paraprofessionals,Technicians,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified Extra Help
Female,Not Applicable,No EEO-4 Reporting,Professionals,BOARD OF SUPERVISORS,Financial Administration,20 - 29,Unclassified  Benefits
Female,Not Applicable,No EEO-4 Reporting,Professionals,BOARD OF SUPERVISORS,Financial Administration,20 - 29,Unclassified Extra Help
Female,Two or More Races,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,White,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Temp Provisional
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Not Applicable,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Provisional
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Not Applicable,Paraprofessionals,Technicians,AGRICULTURE & ENVIRON MGMT,Natural Resources,20 - 29,Unclassified Extra Help
Female,Black/African American,Administrative Support,Administrative Support,COMMUNICATIONS,Police Protection,20 - 29,Unclassified  Benefits
Female,Two or More Races,Administrative Support,Administrative Support,CONTROLLER TREASURER,Financial Administration,20 - 29,Unclassified Extra Help
Female,Two or More Races,Paraprofessionals,Administrative Support,CONTROLLER TREASURER,Financial Administration,20 - 29,Unclassified Extra Help
Male,Not Applicable,Paraprofessionals,Administrative Support,COUNTY EXECUTIVE,Financial Administration,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Professionals,Professionals,COUNTY EXECUTIVE,Financial Administration,20 - 29,Unclassified Extra Help
Female,Asian,Administrative Support,Administrative Support,COUNTY LIBRARY,Other,20 - 29,Unclassified Extra Help
Male,Two or More Races,Administrative Support,Administrative Support,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,White,Administrative Support,Administrative Support,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Female,White,Administrative Support,Administrative Support,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Female,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Female,Not Applicable,Paraprofessionals,Technicians,DEPT OF TAX AND COLLECTIONS,Financial Administration,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,DISTRICT ATTORNEY,Financial Administration,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Professionals,Professionals,DISTRICT ATTORNEY,Financial Administration,20 - 29,Classified Probationary
Female,Not Applicable,Administrative Support,Administrative Support,EMPLOYEE SERVICES AGENCY,Financial Administration,20 - 29,Unclassified Extra Help
Female,Not Applicable,Professionals,Officials and Adminstrators,EMPLOYEE SERVICES AGENCY,Financial Administration,20 - 29,Classified Probationary
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,FACILITIES AND FLEET,Financial Administration,20 - 29,Classified  Permanent
Male,Asian,Paraprofessionals,Technicians,FACILITIES AND FLEET,Financial Administration,20 - 29,Unclassified Extra Help
Male,Asian,Paraprofessionals,Technicians,FACILITIES AND FLEET,Financial Administration,20 - 29,Unclassified Extra Help
Male,Asian,Technicians,Technicians,PUBLIC HEALTH,Health,20 - 29,Classified  Permanent
Female,Not Applicable,Professionals,Professionals,PRE-TRIAL SERVICES,Corrections,20 - 29,Unclassified Extra Help
Female,Asian,Administrative Support,Administrative Support,PROBATION,Corrections,20 - 29,Unclassified Extra Help
Male,Two or More Races,Protective Service Workers,Protective Services - Sworn,PROBATION,Corrections,20 - 29,Unclassified Extra Help
Female,White,Protective Service Workers,Protective Services - Sworn,PROBATION,Corrections,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,PROCUREMENT,Financial Administration,20 - 29,Unclassified Extra Help
Male,Not Applicable,Professionals,Professionals,PUBLIC DEFENDER,Financial Administration,20 - 29,Unclassified Extra Help
Male,Asian,Paraprofessionals,Technicians,PUBLIC HEALTH,Health,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Paraprofessionals,Technicians,PUBLIC HEALTH,Health,20 - 29,Unclassified Extra Help
Female,Asian,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Service Maintenance,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Not Applicable,Service Maintenance,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Hispanic/Latino,Service Maintenance,Skilled Craft,ROADS AND AIRPORTS,Streets and Highways,20 - 29,Classified Probationary
Male,Two or More Races,Technicians,Skilled Craft,ROADS AND AIRPORTS,Streets and Highways,20 - 29,Classified Probationary
Male,Asian,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Male,Asian,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Sheriff Reserve Officer
Male,Two or More Races,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified  Benefits
Female,Not Applicable,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Professionals,Professionals,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,Not Applicable,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Not Applicable,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Not Applicable,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Two or More Races,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Asian,Professionals,Professionals,PUBLIC HEALTH,Health,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Not Applicable,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Provisional
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Male,Hispanic/Latino,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Two or More Races,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Two or More Races,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Temp Provisional
Female,White,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Not Applicable,Professionals,Officials and Adminstrators,AGRICULTURE & ENVIRON MGMT,Natural Resources,20 - 29,Unclassified Extra Help
Female,Not Applicable,Professionals,Officials and Adminstrators,AGRICULTURE & ENVIRON MGMT,Natural Resources,20 - 29,Unclassified Extra Help
Male,Not Applicable,Paraprofessionals,Technicians,ASSESSOR,Financial Administration,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,COMMUNICATIONS,Police Protection,20 - 29,Classified  Permanent
Female,Not Applicable,Administrative Support,Administrative Support,COMMUNICATIONS,Police Protection,20 - 29,Classified Probationary
Female,White,Administrative Support,Administrative Support,COMMUNICATIONS,Police Protection,20 - 29,Classified Probationary
Female,Asian,Paraprofessionals,Technicians,COUNTY EXECUTIVE,Financial Administration,20 - 29,Unclassified Extra Help
Female,White,Paraprofessionals,Administrative Support,COUNTY EXECUTIVE,Financial Administration,20 - 29,Unclassified  Benefits
Male,Hispanic/Latino,Administrative Support,Administrative Support,COUNTY LIBRARY,Other,20 - 29,Unclassified Extra Help
Male,White,Administrative Support,Administrative Support,COUNTY LIBRARY,Other,20 - 29,Classified  Permanent
Female,Asian,Administrative Support,Administrative Support,COUNTY LIBRARY,Other,20 - 29,Classified Probationary
Male,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,Two or More Races,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Female,White,Service Maintenance,Service Maintenance,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,Asian,Paraprofessionals,Technicians,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Female,Two or More Races,Paraprofessionals,Administrative Support,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Paraprofessionals,Technicians,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Male,Asian,Paraprofessionals,Technicians,PARKS & RECREATION,Natural Resources,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Service Maintenance,Service Maintenance,DEPARTMENT OF CORRECTION,Corrections,20 - 29,Unclassified Extra Help
Female,Black/African American,Professionals,Professionals,DISTRICT ATTORNEY,Financial Administration,20 - 29,Unclassified Extra Help
Male,Asian,Professionals,Professionals,DISTRICT ATTORNEY,Financial Administration,20 - 29,Unclassified Extra Help
Female,Not Applicable,Professionals,Officials and Adminstrators,EMPLOYEE SERVICES AGENCY,Financial Administration,20 - 29,Classified Probationary
Male,Asian,Administrative Support,Administrative Support,FACILITIES AND FLEET,Financial Administration,20 - 29,Classified Probationary
Male,Not Applicable,Paraprofessionals,Technicians,FACILITIES AND FLEET,Financial Administration,20 - 29,Unclassified Extra Help
Male,Not Applicable,Professionals,Professionals,PRE-TRIAL SERVICES,Corrections,20 - 29,Unclassified Extra Help
Female,Not Applicable,Professionals,Professionals,PRE-TRIAL SERVICES,Corrections,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,PROBATION,Corrections,20 - 29,Unclassified Extra Help
Female,Asian,Professionals,Officials and Adminstrators,PROBATION,Corrections,20 - 29,Classified Probationary
Female,Black/African American,Paraprofessionals,Technicians,PUBLIC HEALTH,Health,20 - 29,Unclassified Extra Help
Male,Asian,Paraprofessionals,Administrative Support,PUBLIC HEALTH,Health,20 - 29,Unclassified Extra Help
Male,White,Technicians,Technicians,PUBLIC HEALTH,Health,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Asian,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Female,Not Applicable,Administrative Support,Administrative Support,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Not Applicable,Paraprofessionals,Technicians,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Not Applicable,Technicians,Technicians,REGISTRAR OF VOTERS,Other,20 - 29,Unclassified Extra Help
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Classified  Permanent
Male,Asian,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Male,Asian,Protective Service Workers,Protective Services-Non Sworn,SHERIFF SERVICES,Police Protection,20 - 29,Unclassified  Exempt
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Asian,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Female,Black/African American,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Native Hawaiian/Oth Pac Island,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Hispanic/Latino,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,Not Applicable,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Male,White,Protective Service Workers,Protective Services - Sworn,SHERIFF-DOC CONTRACT,Corrections,20 - 29,Classified Probationary
Female,Not Applicable,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Temp Provisional
Female,Hispanic/Latino,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Female,Not Applicable,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Male,Asian,Administrative Support,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Classified Probationary
Male,Not Applicable,Paraprofessionals,Administrative Support,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified Extra Help
Male,Not Applicable,Protective Service Workers,Protective Services-Non Sworn,SOCIAL SERVICES AGENCY,Public Welfare,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,White,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Not Applicable,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Hispanic/Latino,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Two or More Races,Administrative Support,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Hispanic/Latino,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Asian,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Male,Not Applicable,Service Maintenance,Service Maintenance,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,White,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Paraprofessionals,Administrative Support,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified  Permanent
Female,Hispanic/Latino,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Two or More Races,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Two or More Races,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Classified Probationary
Female,Asian,Paraprofessionals,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Not Applicable,Protective Service Workers,Protective Services-Non Sworn,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Two or More Races,Technicians,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Not Applicable,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Male,Asian,Technicians,Technicians,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
Female,Asian,Professionals,Professionals,SANTA CLARA VALLEY MEDICAL CENTER,Hospitals & Sanatoriums,20 - 29,Unclassified Extra Help
